#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"d8-63-75-da-49-8f","10.0.20.1","Redmi4A-Redmi.tscrm.com"
"f8-4e-73-ae-b3-da","10.0.20.2","iPhone-Ulia.tscrm.com"
"a8-9c-ed-57-a0-e1","10.0.20.3","Mi9T-MiPhone.tscrm.com"
"48-3b-38-66-1c-7b","10.0.20.4","iPhone-Dmitri.tscrm.com"
"44-00-10-68-a0-5d","10.0.20.5","iPhone-Dmitriy.tscrm.com"
"ec-d0-9f-aa-07-f9","10.0.20.6","MI6-MiPhone.tscrm.com"
"07-14-00-0a","10.0.20.7","BAD_ADDRESS"
"a4-9b-4f-6e-30-ef","10.0.20.8","HUAWEI_P30-e8151bb78e3fac.tscrm.com"
"80-4e-70-28-7c-44","10.0.20.9","Galaxy-A6.tscrm.com"
"fc-53-9e-a8-66-de","10.0.20.10","MEIZU-M5s.tscrm.com"
"48-4b-aa-45-91-68","10.0.20.11","iPhone-Elena.tscrm.com"
"88-bf-e4-3e-f1-e8","10.0.20.12","Honor_10-37c3aa225276837e.tscrm.com"
"c0-ee-fb-5b-3d-65","10.0.20.13","OnePlus6T.tscrm.com"
"60-ab-67-fb-19-20","10.0.20.14","Mi9SE-MiPhone.tscrm.com"
"54-dc-1d-fe-e6-4c","10.0.20.15",
"08-74-02-c4-b0-15","10.0.20.16","Annet.tscrm.com"
"60-ab-67-8e-07-5d","10.0.20.17",
"04-92-26-7f-00-45","10.0.20.18",
"7c-03-ab-1e-10-63","10.0.20.19","RedmiNote7-Marz.tscrm.com"
"28-3a-4d-4e-c1-57","10.0.20.20","y_kazabekov_nb.tscrm.com"
"c0-bd-c8-2e-e2-47","10.0.20.21","GalaxyWatchActive-C246.tscrm.com"
"60-ab-67-e2-bc-80","10.0.20.22","Mi9SE-Nikolas.tscrm.com"
"a0-cb-fd-92-5c-4e","10.0.20.23","Galaxy-Tab-A.tscrm.com"
"a4-50-46-f2-91-fc","10.0.20.24",
"40-cb-c0-05-20-d9","10.0.20.25","iPhoneAistrator.tscrm.com"
"48-01-c5-13-5f-26","10.0.20.26","OnePlus7.tscrm.com"
"a4-50-46-c6-40-7f","10.0.20.27",
"a4-50-46-07-be-b7","10.0.20.28",
"8c-be-be-0e-30-d2","10.0.20.29","RedmiNote4-Redmi.tscrm.com"
"a0-c9-a0-cd-29-90","10.0.20.30","Galaxy-S8.tscrm.com"
"fc-53-9e-b7-aa-71","10.0.20.31","MEIZU-M6s.tscrm.com"
"a8-db-03-df-50-e1","10.0.20.32","Galaxy-S10.tscrm.com"
"ac-92-32-3f-3b-00","10.0.20.33","HUAWEI_P_smart-fcd26e3c73.tscrm.com"
"31-39-32-2e-31-36-38-2e-31-36-38-2e-31","10.0.20.34","MacBook-4.tscrm.com"
"23-14-00-0a","10.0.20.35","BAD_ADDRESS"
"78-7e-61-7b-9d-93","10.0.20.36","iPhone-Pavel.tscrm.com"
"90-78-b2-5c-24-e4","10.0.20.37","Mi9T-MiPhone.tscrm.com"
"48-4b-aa-85-33-a2","10.0.20.38","iPhone-iTon.tscrm.com"
"76-44-e9-90-8a-82","10.0.20.39","OnePlus7.tscrm.com"
"28-14-00-0a","10.0.20.40","BAD_ADDRESS"
