#TYPE Microsoft.Management.Infrastructure.CimInstance#root/Microsoft/Windows/DHCP/DhcpServerv4Lease
"IPAddress","ScopeId","AddressState","ClientId","ClientType","Description","DnsRegistration","DnsRR","HostName","LeaseExpiryTime","NapCapable","NapStatus","PolicyName","ProbationEnds","ServerIP","PSComputerName"
"10.0.1.1","10.0.1.0","Active","88-ae-1d-d2-b6-40","Dhcp",,"Complete","AandPTR","0911_NB.tscrm.com","9/25/2019 9:06:14 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.2","10.0.1.0","Active","1c-1b-0d-2a-98-43","Dhcp",,"Complete","AandPTR","minint-i9p83ps.tscrm.com","9/23/2019 3:31:27 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.3","10.0.1.0","Active","3c-97-0e-ee-ad-7a","Dhcp",,"Complete","AandPTR","t_ovsiukhno_nb.tscrm.com","9/25/2019 4:10:23 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.4","10.0.1.0","Active","b4-b5-2f-87-b8-de","Dhcp",,"Complete","AandPTR","a_savran_nb.tscrm.com","9/25/2019 3:45:39 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.5","10.0.1.0","Active","a4-5d-36-c9-ee-42","Dhcp",,"Complete","AandPTR","Guard.tscrm.com","9/24/2019 7:33:24 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.6","10.0.1.0","Active","b4-b5-2f-7e-f6-18","Dhcp",,"Complete","AandPTR","Y_Zavedeya_N.tscrm.com","9/23/2019 3:32:01 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.7","10.0.1.0","Active","40-8d-5c-d7-36-4e","Dhcp",,"Complete","AandPTR","Tsmusic01.tscrm.com","9/23/2019 4:15:14 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.8","10.0.1.0","Active","40-8d-5c-8f-4b-9f","Dhcp",,"Complete","AandPTR","DESKTOP-DLJQJVD.tscrm.com","9/24/2019 7:35:14 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.9","10.0.1.0","Active","28-d2-44-5d-64-0e","Dhcp",,"Complete","AandPTR","a_hryshchenko_n.tscrm.com","9/25/2019 4:30:38 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.10","10.0.1.0","Active","00-e0-4c-68-2b-e3","Dhcp",,"Complete","AandPTR","v_rudenko_nb.tscrm.com","9/22/2019 12:00:47 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.11","10.0.1.0","Active","28-d2-44-4d-ca-ee","Dhcp",,"Complete","AandPTR","e_sitovskaya_nb.tscrm.com","9/25/2019 3:30:57 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.12","10.0.1.0","Active","1c-1b-0d-86-56-42","Dhcp",,"Complete","AandPTR","tsnews_hr.tscrm.com","9/21/2019 1:42:48 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.13","10.0.1.0","Active","3c-97-0e-e5-7b-89","Dhcp",,"Complete","AandPTR","i_ksenchina_nb.tscrm.com","9/25/2019 9:52:06 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.14","10.0.1.0","Active","28-d2-44-4d-cf-3d","Dhcp",,"Complete","AandPTR","e_zhyvets_nb.tscrm.com","9/25/2019 10:02:22 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.15","10.0.1.0","Active","b4-b5-2f-7e-f5-31","Dhcp",,"Complete","AandPTR","m_rudko_nb.tscrm.com","9/25/2019 3:44:57 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.16","10.0.1.0","Active","3c-97-0e-ee-ad-d1","Dhcp",,"Complete","AandPTR","v_denysiuk_nb.tscrm.com","9/22/2019 11:05:17 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.17","10.0.1.0","Active","70-5a-0f-1f-f7-e7","Dhcp",,"Complete","AandPTR","s_kutishchev_nb.tscrm.com","9/22/2019 4:10:05 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.18","10.0.1.0","Active","1c-1b-0d-2a-98-b6","Dhcp",,"Complete","AandPTR","minint-18d18qs.tscrm.com","9/22/2019 1:18:21 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.19","10.0.1.0","Active","dc-0e-a1-8a-71-9b","Dhcp",,"Complete","AandPTR","DESKTOP-RCCA597.tscrm.com","9/21/2019 4:47:35 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.20","10.0.1.0","Active","1c-1b-0d-2a-98-81","Dhcp",,"Complete","AandPTR","minint-lqbnno8.tscrm.com","9/22/2019 12:11:16 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.21","10.0.1.0","ActiveReservation","b8-70-f4-19-79-eb","Dhcp","","Complete","AandPTR","Guard.tscrm.com",,"False","FullAccess",,,"10.0.7.199",
"10.0.1.22","10.0.1.0","Active","28-d2-44-4d-ce-f5","Dhcp",,"Complete","AandPTR","n_romanyuk.tscrm.com","9/25/2019 3:31:49 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.23","10.0.1.0","Active","3c-4a-92-c7-fb-19","Dhcp",,"Complete","AandPTR","DESKTOP-9PHLUT5.tscrm.com","9/22/2019 9:25:53 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.24","10.0.1.0","Active","28-d2-44-4d-d4-a6","Dhcp",,"Complete","AandPTR","s_khyzhniak_n.tscrm.com","9/25/2019 4:21:43 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.25","10.0.1.0","Active","28-d2-44-4d-d1-5b","Dhcp",,"Complete","AandPTR","v_naboka_nb.tscrm.com","9/25/2019 4:04:29 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.26","10.0.1.0","Active","1c-6f-65-91-13-79","Dhcp",,"Complete","AandPTR","guard_reception.tscrm.com","9/22/2019 12:35:05 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.27","10.0.1.0","Active","f4-f2-6d-10-65-e1","Dhcp",,"Complete","AandPTR","DESKTOP-DLJQJVD.tscrm.com","9/24/2019 7:35:14 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.28","10.0.1.0","Active","70-5a-0f-1f-b3-7c","Dhcp",,"Complete","AandPTR","o_vasilevskyi_.tscrm.com","9/21/2019 7:30:24 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.29","10.0.1.0","Active","28-d2-44-5d-65-50","Dhcp",,"Complete","AandPTR","t_stupak_nb.tscrm.com","9/22/2019 12:09:25 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.30","10.0.1.0","ActiveReservation","40-8d-5c-d5-ff-dc","Dhcp","","Complete","AandPTR","Tsmusic01.tscrm.com",,"False","FullAccess",,,"10.0.7.199",
"10.0.1.31","10.0.1.0","Active","28-d2-44-4d-cd-ef","Dhcp",,"Complete","AandPTR","o_grigorjeva_n.tscrm.com","9/25/2019 1:48:43 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.32","10.0.1.0","Active","28-d2-44-5d-66-8b","Dhcp",,"Complete","AandPTR","v_rudenko_nb.tscrm.com","9/25/2019 3:36:01 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.33","10.0.1.0","Active","9c-b6-54-1d-b7-e1","Dhcp",,"Complete","AandPTR","a_lupenko_nb.tscrm.com","9/24/2019 5:43:26 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.34","10.0.1.0","Active","28-d2-44-4d-cd-f5","Dhcp",,"Complete","AandPTR","z_saratovskaya.tscrm.com","9/25/2019 12:20:09 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.35","10.0.1.0","Active","84-a9-3e-0a-ce-6e","Dhcp",,"Complete","AandPTR","t_khodan_n.tscrm.com","9/25/2019 3:31:16 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.36","10.0.1.0","Active","b4-b5-2f-78-2b-17","Dhcp",,"Complete","AandPTR","l_sinkovskaya_n.tscrm.com","9/25/2019 2:54:55 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.37","10.0.1.0","Active","1c-39-47-b4-aa-87","Dhcp",,"Complete","AandPTR","Study8.tscrm.com","9/23/2019 10:34:24 AM","False","FullAccess",,,"10.0.7.199",
"10.0.1.38","10.0.1.0","Active","00-e0-4c-68-28-a3","Dhcp",,"Complete","AandPTR","t_stupak_nb.tscrm.com","9/25/2019 4:02:28 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.39","10.0.1.0","Active","70-5a-0f-21-1a-d0","Dhcp",,"Complete","AandPTR","e_mityuk_nb.tscrm.com","9/22/2019 6:53:02 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.40","10.0.1.0","Active","a4-5d-36-1a-23-71","Dhcp",,"Complete","AandPTR","BPMS_UX_NB.tscrm.com","9/23/2019 2:26:38 PM","False","FullAccess",,,"10.0.7.199",
"10.0.1.41","10.0.1.0","Active","10-e7-c6-df-04-be","Dhcp",,"Complete","AandPTR","v_mayuk_nb.tscrm.com","9/25/2019 4:01:28 PM","False","FullAccess",,,"10.0.7.199",
